,code,symbol,issuer,fund_manager,fund_type,establishment_date,listed_date,stop_date,de_listed_date,benchmark
458,546,兴业债券A,兴业基金管理有限公司,腊博 周鸣 ,Bond,2014-03-13,2014-03-13,0000-00-00,0000-00-00,100.0％×中债-综合指数-全价指数
459,547,建信健康,建信基金管理有限责任公司,姜锋 ,Hybrid,2014-03-21,2014-03-21,0000-00-00,0000-00-00,70.0％×沪深300指数+30.0％×中债-综合指数-全价指数
460,548,鹏华聚财通,鹏华基金管理有限公司,李君 叶朝明 ,Money,2017-05-18,2017-05-18,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
461,549,华安大国,华安基金管理有限公司,翁启森 ,Stock,2014-04-14,2014-04-14,0000-00-00,0000-00-00,10.0％×中债-总指数+90.0％×中证800指数
462,550,广发新动力,广发基金管理有限公司,王颂 朱坤 ,Hybrid,2014-03-19,2014-03-19,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中证全债指数
463,551,信诚幸福,中信保诚基金管理有限公司,张光成 闾志刚 ,Hybrid,2014-04-29,2014-04-29,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中证综合债券指数
464,552,中加纯债一年A,中加基金管理有限公司,闫沛贤 ,Bond,2014-03-24,2014-03-24,0000-00-00,0000-00-00,100.0％×一年定期存款收益率(税后)加1.3%
465,553,中加纯债一年C,中加基金管理有限公司,闫沛贤 ,Bond,2014-03-24,2014-03-24,0000-00-00,0000-00-00,100.0％×一年定期存款收益率(税后)加1.3%
466,554,南方中国梦,南方基金管理股份有限公司,蔡望鹏 ,Hybrid,2014-06-09,2014-06-09,0000-00-00,0000-00-00,40.0％×上海证券交易所国债指数+60.0％×沪深300指数
467,556,国投新机遇A,国投瑞银基金管理有限公司,何明 宋璐 杨冬冬 ,Hybrid,2014-03-11,2014-03-11,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加1%
468,557,国投新机遇C,国投瑞银基金管理有限公司,何明 宋璐 杨冬冬 ,Hybrid,2014-03-11,2014-03-11,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加1%
469,558,国投瑞易货币,国投瑞银基金管理有限公司,,Money,2014-03-20,2014-03-20,2015-09-10,2015-09-10,100.0％×七天通知存款利率(税后)
470,559,诺安天天宝A,诺安基金管理有限公司,谢志华 周建树 ,Money,2014-03-25,2014-03-25,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
471,560,诺安天天宝E,诺安基金管理有限公司,谢志华 周建树 ,Money,2014-03-25,2014-03-25,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
472,561,南方启元A,南方基金管理股份有限公司,黄河 陶铄 ,Bond,2014-07-25,2014-07-25,0000-00-00,0000-00-00,100.0％×中债-信用债总指数
473,562,南方启元C,南方基金管理股份有限公司,黄河 陶铄 ,Bond,2014-07-25,2014-07-25,0000-00-00,0000-00-00,100.0％×中债-信用债总指数
474,563,南方通利A,南方基金管理股份有限公司,何康 ,Bond,2014-04-25,2014-04-25,0000-00-00,0000-00-00,100.0％×中债-信用债总指数
475,564,南方通利C,南方基金管理股份有限公司,何康 ,Bond,2014-04-25,2014-04-25,0000-00-00,0000-00-00,100.0％×中债-信用债总指数
476,566,华泰创新,华泰柏瑞基金管理有限公司,张慧 ,Hybrid,2014-05-06,2014-05-06,0000-00-00,0000-00-00,40.0％×中证新兴产业指数+40.0％×中债-总指数-全价指数+20.0％×中证TMT产业主题指数
477,567,广发聚祥,广发基金管理有限公司,毛深静 ,Hybrid,2014-03-21,2014-03-21,0000-00-00,0000-00-00,55.0％×沪深300指数+45.0％×中证全债指数
478,569,鹏华增值宝,鹏华基金管理有限公司,叶朝明 ,Money,2014-02-26,2014-02-26,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
479,571,中邮双动力,中邮创业基金管理股份有限公司,,Hybrid,2014-05-04,2014-05-04,2019-04-23,2019-04-23,5.0％×活期存款利率(税后)+30.0％×中证新兴产业指数+65.0％×中债-综合指数-财富指数
480,572,中银多策略,中银基金管理有限公司,李建 ,Hybrid,2014-03-31,2014-03-31,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+50.0％×沪深300指数+45.0％×中债-综合指数
481,573,天弘通利,天弘基金管理有限公司,姜晓丽 钱文成 王昌俊 ,Hybrid,2014-03-14,2014-03-14,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加0.75%
482,574,宝盈新价值A,宝盈基金管理有限公司,肖肖 ,Hybrid,2014-04-10,2014-04-10,0000-00-00,0000-00-00,65.0％×沪深300指数+35.0％×中债-综合指数
483,575,兴全添利宝,兴全基金管理有限公司,邓娟 翟秀华 ,Money,2014-02-27,2014-02-27,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
484,576,中邮货币A,中邮创业基金管理股份有限公司,刘凡 余红 ,Money,2014-05-28,2014-05-28,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
485,577,安信价值,安信基金管理有限责任公司,陈一峰 ,Stock,2014-04-21,2014-04-21,0000-00-00,0000-00-00,20.0％×中债-总指数+80.0％×沪深300指数
486,578,鑫元恒鑫A,鑫元基金管理有限公司,陈令朝 郑文旭 ,Bond,2018-05-03,2018-05-03,0000-00-00,0000-00-00,10.0％×沪深300指数+90.0％×中证全债指数
487,579,鑫元恒鑫C,鑫元基金管理有限公司,陈令朝 郑文旭 ,Bond,2018-05-03,2018-05-03,0000-00-00,0000-00-00,10.0％×沪深300指数+90.0％×中证全债指数
488,580,中邮货币B,中邮创业基金管理股份有限公司,刘凡 余红 ,Money,2014-05-28,2014-05-28,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
489,581,嘉实活钱包A,嘉实基金管理有限公司,李曈 李金灿 万晓西 ,Money,2014-03-17,2014-03-17,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
490,583,江信聚福,江信基金管理有限公司,静鹏 ,Bond,2014-05-29,2014-05-29,0000-00-00,0000-00-00,100.0％×六个月定期存款利率(税后)加1.7%
491,584,新华鑫益,新华基金管理股份有限公司,崔建波 栾超 ,Hybrid,2014-04-16,2014-04-16,0000-00-00,0000-00-00,10.0％
492,585,嘉实对冲套利,嘉实基金管理有限公司,刘斌 龙昌伦 ,Hybrid,2014-05-16,2014-05-16,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)
493,586,景顺创业板,景顺长城基金管理有限公司,李孟海 ,Stock,2014-04-30,2014-04-30,0000-00-00,0000-00-00,45.0％×中小板综合指数+10.0％×中证全债指数+45.0％×创业板综合指数
494,587,大成灵活,大成基金管理有限公司,王磊 ,Hybrid,2014-05-14,2014-05-14,0000-00-00,0000-00-00,6.0％
495,588,招商招钱宝A,招商基金管理有限公司,向霈 ,Money,2014-03-25,2014-03-25,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
496,589,光大商机,光大保德信基金管理有限公司,陈栋 ,Hybrid,2014-04-29,2014-04-29,0000-00-00,0000-00-00,75.0％×沪深300指数+25.0％×中证全债指数
497,590,华安新活力,华安基金管理有限公司,贺涛 ,Hybrid,2014-04-01,2014-04-01,0000-00-00,0000-00-00,50.0％×中债-总指数+50.0％×中证800指数
498,591,中银健康,中银基金管理有限公司,辜岚 ,Hybrid,2014-05-20,2014-05-20,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中债-综合指数
499,592,建信改革,建信基金管理有限责任公司,陶灿 ,Stock,2014-05-14,2014-05-14,0000-00-00,0000-00-00,15.0％×中债-总指数+85.0％×沪深300指数
500,593,易方达全球A美元现汇,易方达基金管理有限公司,范冰 张胜记 ,QDII,2014-03-28,2014-03-28,0000-00-00,0000-00-00,100.0％×标普全球高端消费品指数
501,594,大摩进取,摩根士丹利华鑫基金管理有限公司,朱睿 缪东航 ,Stock,2014-05-29,2014-05-29,0000-00-00,0000-00-00,85.0％×沪深300指数+15.0％×标普中国债券指数
502,595,嘉实泰和,嘉实基金管理有限公司,归凯 ,Hybrid,2014-04-04,2014-04-04,0000-00-00,0000-00-00,30.0％×上海证券交易所国债指数+70.0％×沪深300指数
503,596,前海中证军工A,前海开源基金管理有限公司,黄玥 陶曙斌 ,Stock,2014-05-27,2014-05-27,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×中证军工指数
504,597,中海收益,中海基金管理有限公司,刘俊 ,Hybrid,2014-05-26,2014-05-26,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加2%
505,598,长盛生态,长盛基金管理有限公司,代毅 乔培涛 ,Hybrid,2014-09-10,2014-09-10,0000-00-00,0000-00-00,50.0％×中证综合债券指数+50.0％×中证环保产业指数
506,599,信诚薪金宝,中信保诚基金管理有限公司,席行懿 ,Money,2014-05-14,2014-05-14,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
507,600,汇添富和聚宝,汇添富基金管理股份有限公司,徐寅喆 ,Money,2014-05-28,2014-05-28,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
508,601,华宝创新,华宝基金管理有限公司,代云峰 ,Hybrid,2014-05-14,2014-05-14,0000-00-00,0000-00-00,20.0％×上海证券交易所国债指数+80.0％×中证800指数
509,602,富国安益货币,富国基金管理有限公司,吴旅忠 张波 ,Money,2014-05-26,2014-05-26,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
510,603,易方达创新,易方达基金管理有限公司,葛秋石 祁禾 ,Hybrid,2015-02-13,2015-02-13,0000-00-00,0000-00-00,50.0％×中债-总指数+50.0％×沪深300指数
511,604,银华多利宝A,银华基金管理股份有限公司,刘谢冰 王树丽 ,Money,2014-04-25,2014-04-25,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
512,605,银华多利宝B,银华基金管理股份有限公司,刘谢冰 王树丽 ,Money,2014-04-25,2014-04-25,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
513,606,天弘优选,天弘基金管理有限公司,刘洋 ,Bond,2017-09-26,2017-09-26,0000-00-00,0000-00-00,100.0％×两年定期存款利率1.6倍
514,607,招商招钱宝B,招商基金管理有限公司,向霈 ,Money,2014-04-29,2014-04-29,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
515,609,华商新量化,华商基金管理有限公司,邓默 ,Hybrid,2014-06-05,2014-06-05,0000-00-00,0000-00-00,40.0％×上海证券交易所国债指数+60.0％×沪深300指数
516,610,新华阿里一号,新华基金管理股份有限公司,,Other,2014-04-25,2014-04-25,2017-05-03,2017-05-03,100.0％×一年定期存款利率(税后)加1%的1.5倍
517,611,长城淘金,长城基金管理有限公司,,Bond,2014-05-07,2014-05-07,2016-08-25,2016-08-25,100.0％×一年期定期存款利率(税后)的1.1倍
518,612,华宝生态,华宝基金管理有限公司,夏林锋 ,Hybrid,2014-06-13,2014-06-13,0000-00-00,0000-00-00,20.0％×上海证券交易所国债指数+80.0％×中证800指数
519,613,国寿300ETF联接,国寿安保基金管理有限公司,李康 ,Stock,2018-08-13,2018-08-13,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×沪深300指数
520,614,华安德国30ETF联接,华安基金管理有限公司,倪斌 ,QDII,2014-08-12,2014-08-12,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×德国法兰克福DAX指数
521,615,长城工资宝A,长城基金管理有限公司,徐涛国 邹德立 ,Money,2014-06-25,2014-06-25,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
522,616,上投优信A,上投摩根基金管理有限公司,聂曙光 唐瑭 ,Bond,2014-06-11,2014-06-11,0000-00-00,0000-00-00,100.0％×中证综合债券指数
523,617,上投优信C,上投摩根基金管理有限公司,聂曙光 唐瑭 ,Bond,2014-06-11,2014-06-11,0000-00-00,0000-00-00,100.0％×中证综合债券指数
524,618,嘉实薪金宝,嘉实基金管理有限公司,李金灿 万晓西 ,Money,2014-04-29,2014-04-29,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
525,619,东方红产业升级,上海东方证券资产管理有限公司,王延飞 ,Hybrid,2014-06-06,2014-06-06,0000-00-00,0000-00-00,30.0％×中债-总指数+70.0％×沪深300指数
526,620,易方达现金A,易方达基金管理有限公司,梁莹 石大怿 ,Money,2015-02-05,2015-02-05,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
527,621,易方达现金B,易方达基金管理有限公司,梁莹 石大怿 ,Money,2015-02-05,2015-02-05,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
528,622,华富恒财,华富基金管理有限公司,,Bond,2014-05-07,2014-05-07,2018-08-07,2018-08-07,100.0％×中证全债指数
529,623,华富恒财C,华富基金管理有限公司,倪莉莎 ,Bond,2018-08-07,2018-08-07,0000-00-00,0000-00-00,100.0％×中证全债指数
530,624,华富恒财A,华富基金管理有限公司,倪莉莎 ,Bond,2018-08-07,2018-08-07,0000-00-00,0000-00-00,100.0％×中证全债指数
531,625,诺安天天宝B,诺安基金管理有限公司,谢志华 周建树 ,Money,2014-04-28,2014-04-28,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
532,626,大成丰财宝A,大成基金管理有限公司,陈会荣 ,Money,2014-06-18,2014-06-18,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
533,627,大成丰财宝B,大成基金管理有限公司,陈会荣 ,Money,2014-06-18,2014-06-18,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
534,628,大成高新,大成基金管理有限公司,刘旭 ,Stock,2015-02-03,2015-02-03,0000-00-00,0000-00-00,80.0％×中证中小盘700指数+20.0％×中证综合债券指数
535,629,圆信纯债A,圆信永丰基金管理有限公司,,Bond,2014-05-30,2014-05-30,2019-01-25,2019-01-25,100.0％×一年定期存款利率(税后)
536,630,圆信纯债C,圆信永丰基金管理有限公司,,Bond,2014-05-30,2014-05-30,2019-01-25,2019-01-25,100.0％×一年定期存款利率(税后)
537,631,中银聚利,中银基金管理有限公司,,Bond,2014-06-05,2014-06-05,2017-07-21,2017-07-21,100.0％×中债-综合指数-全价指数
538,632,中银聚利半年,中银基金管理有限公司,陈玮 ,Bond,2017-07-21,2017-07-21,0000-00-00,0000-00-00,100.0％×中债-综合指数-全价指数
539,633,中银聚利B,中银基金管理有限公司,,Bond,2014-06-05,2014-06-05,2017-07-21,2017-07-21,100.0％×中债-综合指数-全价指数
540,634,富国天盛,富国基金管理有限公司,肖威兵 ,Hybrid,2014-04-30,2014-04-30,0000-00-00,0000-00-00,65.0％×沪深300指数+35.0％×中债-综合指数
541,638,富国富钱包,富国基金管理有限公司,吴旅忠 张波 ,Money,2014-05-07,2014-05-07,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
542,639,宝盈祥瑞A,宝盈基金管理有限公司,高宇 ,Hybrid,2014-05-21,2014-05-21,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加1%
543,640,诺安理财宝A,诺安基金管理有限公司,潘飞 谢志华 ,Money,2014-05-12,2014-05-12,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
544,641,诺安理财宝B,诺安基金管理有限公司,潘飞 谢志华 ,Money,2014-05-13,2014-05-13,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
545,642,汇添富货币C,汇添富基金管理股份有限公司,温开强 徐寅喆 ,Money,2014-06-05,2014-06-05,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
546,643,华宝活期通A,华宝基金管理有限公司,,Money,2014-05-21,2014-05-21,2015-11-02,2015-11-02,100.0％×活期存款利率(税后)
547,644,招商招金宝A,招商基金管理有限公司,许强 ,Money,2014-06-18,2014-06-18,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
548,645,华夏薪金宝,华夏基金管理有限公司,曲波 ,Money,2014-05-26,2014-05-26,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
549,646,华润医疗,华润元大基金管理有限公司,陈剑波 袁华涛 ,Hybrid,2014-08-18,2014-08-18,0000-00-00,0000-00-00,20.0％×中债-综合指数+80.0％×中证医药卫生指数
550,647,易方达财富快线A,易方达基金管理有限公司,梁莹 刘朝阳 石大怿 ,Money,2014-06-17,2014-06-17,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
551,648,易方达财富快线B,易方达基金管理有限公司,梁莹 刘朝阳 石大怿 ,Money,2014-06-17,2014-06-17,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
552,649,长城久鑫灵活,长城基金管理有限公司,赵波 ,Hybrid,2018-06-22,2018-06-22,0000-00-00,0000-00-00,45.0％×中债-总指数+55.0％×沪深300指数
553,650,汇添富货币D,汇添富基金管理股份有限公司,温开强 徐寅喆 ,Money,2014-06-05,2014-06-05,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
554,651,招商招金宝B,招商基金管理有限公司,许强 ,Money,2014-06-18,2014-06-18,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
555,652,博时裕隆,博时基金管理有限公司,陈鹏扬 ,Hybrid,2014-06-03,2014-06-03,0000-00-00,0000-00-00,75.0％×沪深300指数+25.0％×中证全债指数
556,654,华商新锐,华商基金管理有限公司,童立 ,Hybrid,2014-07-24,2014-07-24,0000-00-00,0000-00-00,35.0％×上海证券交易所国债指数+65.0％×沪深300指数
557,655,鑫元稳利,鑫元基金管理有限公司,郑文旭 ,Bond,2014-06-12,2014-06-12,0000-00-00,0000-00-00,100.0％×中证全债指数
558,656,前海300,前海开源基金管理有限公司,付海宁 ,Stock,2014-06-17,2014-06-17,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×沪深300指数
559,657,银华活钱宝A,银华基金管理股份有限公司,刘谢冰 ,Money,2014-06-23,2014-06-23,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
560,658,银华活钱宝B,银华基金管理股份有限公司,刘谢冰 ,Money,2014-06-23,2014-06-23,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
561,659,银华活钱宝C,银华基金管理股份有限公司,刘谢冰 ,Money,2014-06-23,2014-06-23,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
562,660,银华活钱宝D,银华基金管理股份有限公司,刘谢冰 ,Money,2014-06-23,2014-06-23,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
563,661,银华活钱宝E,银华基金管理股份有限公司,刘谢冰 ,Money,2014-06-23,2014-06-23,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
564,662,银华活钱宝F,银华基金管理股份有限公司,刘谢冰 ,Money,2014-06-23,2014-06-23,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
565,663,国投美丽中国,国投瑞银基金管理有限公司,董晗 ,Hybrid,2014-06-24,2014-06-24,0000-00-00,0000-00-00,60.0％×沪深300指数+40.0％×中债-综合指数
566,664,国联安通盈A,国联安基金管理有限公司,王欢 薛琳 ,Hybrid,2014-06-13,2014-06-13,0000-00-00,0000-00-00,50.0％×上海证券交易所国债指数+50.0％×沪深300指数
567,665,博时现金B,博时基金管理有限公司,魏桢 ,Money,2014-06-03,2014-06-03,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)
568,667,工银绝对收益A,工银瑞信基金管理有限公司,游凛峰 ,Hybrid,2014-06-26,2014-06-26,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加3%
569,668,国寿尊享A,国寿安保基金管理有限公司,董瑞倩 ,Bond,2014-07-24,2014-07-24,0000-00-00,0000-00-00,100.0％×中债-综合指数-全价指数
570,669,国寿尊享C,国寿安保基金管理有限公司,董瑞倩 ,Bond,2014-07-24,2014-07-24,0000-00-00,0000-00-00,100.0％×中债-综合指数-全价指数
571,670,天弘季加利A,天弘基金管理有限公司,,Bond,2014-06-18,2014-06-18,2015-09-28,2015-09-28,100.0％×三个月定期存款利率(税后)
572,671,天弘季加利B,天弘基金管理有限公司,,Bond,2014-06-18,2014-06-18,2015-09-28,2015-09-28,100.0％×三个月定期存款利率(税后)
573,672,工银绝对收益B,工银瑞信基金管理有限公司,游凛峰 ,Hybrid,2014-06-26,2014-06-26,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加3%
574,674,中海惠祥,中海基金管理有限公司,邵强 ,Bond,2014-08-29,2014-08-29,0000-00-00,0000-00-00,100.0％×中证全债指数
575,675,中海惠祥A,中海基金管理有限公司,邵强 ,Bond,2014-08-29,2014-08-29,0000-00-00,0000-00-00,100.0％×中证全债指数
576,676,中海惠祥B,中海基金管理有限公司,邵强 ,Bond,2014-08-29,2014-08-29,0000-00-00,0000-00-00,100.0％×中证全债指数
577,677,工银现金,工银瑞信基金管理有限公司,王朔 魏欣 姚璐伟 ,Money,2014-09-23,2014-09-23,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
578,678,华宝现E,华宝基金管理有限公司,陈昕 高文庆 ,Money,2014-07-14,2014-07-14,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
579,679,招商丰利A,招商基金管理有限公司,贾仁栋 ,Hybrid,2014-08-12,2014-08-12,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加3%
580,681,信达慧管家A,信达澳银基金管理有限公司,孔学峰 唐弋迅 ,Money,2014-06-26,2014-06-26,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)的1.3倍
581,682,信达慧管家C,信达澳银基金管理有限公司,孔学峰 唐弋迅 ,Money,2014-06-26,2014-06-26,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)的1.3倍
582,683,信达慧管家E,信达澳银基金管理有限公司,孔学峰 唐弋迅 ,Money,2014-06-26,2014-06-26,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)的1.3倍
583,684,长盛养老,长盛基金管理有限公司,乔培涛 周思聪 ,Hybrid,2014-11-25,2014-11-25,0000-00-00,0000-00-00,50.0％×沪深300指数+50.0％×中证综合债券指数
584,685,上投现金,上投摩根基金管理有限公司,,Money,2014-08-19,2014-08-19,2018-11-01,2018-11-01,100.0％×活期存款利率(税后)
585,686,建信嘉薪宝A,建信基金管理有限责任公司,陈建良 先轲宇 于倩倩 ,Money,2014-06-17,2014-06-17,0000-00-00,0000-00-00,100.0％×七天通知存款利率
586,687,南方薪金宝,南方基金管理股份有限公司,蔡奕奕 ,Money,2014-06-23,2014-06-23,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
587,688,景顺精选,景顺长城基金管理有限公司,徐喻军 ,Stock,2014-08-12,2014-08-12,0000-00-00,0000-00-00,90.0％×沪深300指数+10.0％×中证全债指数
588,689,前海新经济,前海开源基金管理有限公司,丁骏 ,Hybrid,2014-08-20,2014-08-20,0000-00-00,0000-00-00,70.0％×沪深300指数+30.0％×中证全债指数
589,690,前海大海洋,前海开源基金管理有限公司,吴国清 ,Hybrid,2014-07-31,2014-07-31,0000-00-00,0000-00-00,70.0％×沪深300指数+30.0％×中证全债指数
590,692,汇添富双债C,汇添富基金管理股份有限公司,吴江宏 郑慧莲 ,Bond,2014-06-18,2014-06-18,0000-00-00,0000-00-00,100.0％×中债-综合指数
591,693,建信现金添利A,建信基金管理有限责任公司,陈建良 于倩倩 ,Money,2014-09-17,2014-09-17,0000-00-00,0000-00-00,100.0％×七天通知存款利率
592,694,鑫元鸿利,鑫元基金管理有限公司,王美芹 ,Bond,2014-06-26,2014-06-26,0000-00-00,0000-00-00,100.0％×中证全债指数
593,695,大成景益A,大成基金管理有限公司,黄万青 李富强 ,Hybrid,2014-06-26,2014-06-26,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加2%
594,696,汇添富环保,汇添富基金管理股份有限公司,赵鹏程 ,Stock,2014-09-16,2014-09-16,0000-00-00,0000-00-00,20.0％×中证全债指数+80.0％×中证环保产业指数
595,697,汇添富移动,汇添富基金管理股份有限公司,杨瑨 ,Stock,2014-08-26,2014-08-26,0000-00-00,0000-00-00,20.0％×中债-综合指数+80.0％×中证移动互联网指数
596,698,宝盈科技,宝盈基金管理有限公司,张仲维 ,Hybrid,2014-08-13,2014-08-13,0000-00-00,0000-00-00,60.0％×中证800指数+40.0％×中证综合债券指数
597,699,中银薪钱包,中银基金管理有限公司,范静 周毅 ,Money,2014-06-26,2014-06-26,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
598,700,泰达货币B,泰达宏利基金管理有限公司,丁宇佳 ,Money,2014-08-06,2014-08-06,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)
599,701,景顺景丰A,景顺长城基金管理有限公司,陈威霖 米良 ,Money,2014-09-16,2014-09-16,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
600,702,广发季季利A,广发基金管理有限公司,,Bond,2014-09-29,2014-09-29,2015-02-16,2015-04-30,100.0％×三个月定期存款利率(税后)
601,703,广发季季利B,广发基金管理有限公司,,Bond,2014-09-29,2014-09-29,2015-02-16,2015-04-30,100.0％×三个月定期存款利率(税后)
602,704,易方达天天增利A,易方达基金管理有限公司,梁莹 石大怿 ,Money,2014-06-25,2014-06-25,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
603,705,易方达天天增利B,易方达基金管理有限公司,梁莹 石大怿 ,Money,2014-06-25,2014-06-25,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
604,706,中邮多策略,中邮创业基金管理股份有限公司,杨欢 ,Hybrid,2014-07-24,2014-07-24,0000-00-00,0000-00-00,40.0％×上海证券交易所国债指数+60.0％×沪深300指数
605,707,景顺景丰B,景顺长城基金管理有限公司,陈威霖 米良 ,Money,2014-09-16,2014-09-16,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
606,708,华安安享,华安基金管理有限公司,郑可成 ,Hybrid,2015-01-23,2015-01-23,0000-00-00,0000-00-00,40.0％×中债-总指数+60.0％×中证800指数
607,709,华安汇财通,华安基金管理有限公司,李邦长 朱才敏 ,Money,2014-07-17,2014-07-17,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
608,710,交银现金宝A,交银施罗德基金管理有限公司,黄莹洁 连端清 ,Money,2014-09-12,2014-09-12,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
609,711,嘉实医疗,嘉实基金管理有限公司,齐海滔 ,Stock,2014-08-13,2014-08-13,0000-00-00,0000-00-00,5.0％×中债-总指数+95.0％×中证医药卫生指数
610,712,上投天添宝A,上投摩根基金管理有限公司,鞠婷 孟晨波 ,Money,2014-11-25,2014-11-25,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
611,713,上投天添宝B,上投摩根基金管理有限公司,鞠婷 孟晨波 ,Money,2014-11-25,2014-11-25,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
612,714,诺安回报A,诺安基金管理有限公司,吴博俊 ,Hybrid,2014-09-15,2014-09-15,0000-00-00,0000-00-00,60.0％×沪深300指数+40.0％×中证全债指数
613,715,民生家盈月度E,民生加银基金管理有限公司,李文君 ,Bond,2014-08-11,2014-08-11,0000-00-00,0000-00-00,100.0％×七天通知存款利率
614,716,工银薪金货币B,工银瑞信基金管理有限公司,王朔 ,Money,2014-07-03,2014-07-03,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
615,717,融通三动力,融通基金管理有限公司,林清源 ,Hybrid,2015-01-16,2015-01-16,0000-00-00,0000-00-00,50.0％×沪深300指数+50.0％×中债-综合指数-全价指数
616,719,南方现金通E,南方基金管理股份有限公司,董浩 夏晨曦 ,Money,2014-07-02,2014-07-02,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
617,720,南方稳利C,南方基金管理股份有限公司,何康 ,Bond,2014-07-24,2014-07-24,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)×1.4
618,721,兴业货币A,兴业基金管理有限公司,刘禹含 王卓然 ,Money,2014-08-06,2014-08-06,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
619,722,兴业货币B,兴业基金管理有限公司,刘禹含 王卓然 ,Money,2014-08-06,2014-08-06,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
